Sheet,Final Reading (1=True),Final Tolerance (1=True),Head,Depth,Time seconds since 1Jan1904,Cumulative Volume,Sp. Cond. Value,Sp. Cond. %,Sp. Cond. Tolerance (1=True),DO Value,DO %,DO Tolerance (1=True),pH Value,pH %,pH Tolerance (1=True),ORP Value,ORP %,ORP Tolerance (1=True),Temp Value,Temp %,Temp. Tolerance (1=True),Salinity Value,Salinity %,Salinity Tolerance (1=True),Aux 1,Aux 2,Aux 3,Time (HH:MM:SS)
 1.000, 0.000, 1.000, 0.970, 0.000,3587732887.762,100.000, 0.000, 0.000, 1.000, 3.520, 0.000, 1.000, 7.350, 0.000, 1.000,439.000, 0.000, 1.000,20.540, 0.000, 1.000, 0.010, 0.000, 1.000, 0.000, 0.000, 0.000,12:28:07
 1.000, 1.000, 1.000, 0.970, 0.000,3587732911.237,100.000, 0.000, 0.000, 1.000, 3.520, 0.000, 1.000, 7.350, 0.000, 1.000,439.000, 0.000, 1.000,20.540, 0.000, 1.000, 0.010, 0.000, 1.000, 0.000, 0.000, 0.000,12:28:31
