Sonde Company Name,Hydrolab
Sensor Model Number,Quanta
Sensor Version,3.1
Sensor Serial Number,ZQT00034
Date,6/9/2017 12:32:22 PM
Time (s),Temperature,pH,Specific Conductance,Salinity,DO % saturation,DO,ORP,depth,battery
1.000,23.750,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.999,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.998,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.999,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.075,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.075,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.000,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.999,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.931,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.934,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.075,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.074,23.760,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.000,23.750,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.999,23.750,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
1.933,23.750,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.007,23.750,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.074,23.750,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.075,23.750,4.380,0.000,0.010,40.400,2.850,438.000,9.999,12.100
2.074,23.760,4.380,0.001,0.010,40.400,2.850,438.000,9.999,12.100
1.999,23.760,4.380,0.001,0.010,40.400,2.850,438.000,9.999,12.100
