Sonde Company Name,Hydrolab
Sensor Model Number,Quanta
Sensor Version,3.1
Sensor Serial Number,ZQT00034
Date,6/9/2017 1:04:58 PM
Time (s),Temperature,pH,Specific Conductance,Salinity,DO % saturation,DO,ORP,depth,battery
1.002,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
2.000,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
2.999,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
4.074,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
5.073,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
6.073,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
7.072,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
8.072,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
9.146,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
10.146,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.000
11.220,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.100
12.220,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.100
13.219,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.100
14.219,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.100
15.293,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.100
16.292,23.810,4.390,0.000,0.010,41.400,2.920,436.000,9.999,12.100
17.291,23.810,4.560,0.000,0.010,41.400,2.920,443.000,9.999,12.100
18.290,23.810,4.560,0.000,0.010,41.400,2.920,443.000,9.999,12.100
19.289,23.810,4.560,0.000,0.010,41.400,2.920,443.000,9.999,12.100
20.363,23.810,4.560,0.000,0.010,41.400,2.920,443.000,9.999,12.100
21.362,23.810,4.560,0.000,0.010,41.400,2.920,443.000,9.999,12.100
22.437,23.810,4.560,0.000,0.010,41.400,3.010,436.000,9.999,12.100
23.371,23.730,4.320,0.000,0.010,42.700,3.010,436.000,9.999,12.100
24.371,23.730,4.320,0.000,0.010,42.700,3.010,436.000,9.999,12.100
25.370,23.730,4.320,0.000,0.010,42.700,3.010,436.000,9.999,12.100
26.369,23.730,4.320,0.000,0.010,42.700,3.010,436.000,9.999,12.100
27.369,23.730,4.320,0.000,0.010,42.700,3.010,436.000,9.999,12.100
28.368,23.720,4.300,0.000,0.010,45.100,3.180,436.000,9.999,12.100
29.367,23.720,4.300,0.000,0.010,45.100,3.180,436.000,9.999,12.100
30.366,23.720,4.300,0.000,0.010,45.100,3.180,436.000,9.999,12.100
31.441,23.720,4.300,0.000,0.010,45.100,3.180,436.000,9.999,12.100
32.443,23.720,4.300,0.000,0.010,45.100,3.180,436.000,9.999,12.100
33.442,23.720,4.300,0.000,0.010,45.100,3.370,436.000,9.999,12.100
34.442,23.720,4.300,0.000,0.010,47.800,3.370,436.000,9.999,12.100
35.376,23.720,4.300,0.000,0.010,47.800,3.370,436.000,9.999,12.100
36.375,23.720,4.300,0.000,0.010,47.800,3.370,436.000,9.999,12.100
37.450,23.720,4.300,0.000,0.010,47.800,3.370,436.000,9.999,12.100
38.448,23.720,4.300,0.000,0.010,47.800,3.370,436.000,9.999,12.100
39.448,23.720,4.290,0.000,0.010,50.500,3.570,434.000,9.999,12.000
40.446,23.720,4.290,0.000,0.010,50.500,3.570,434.000,9.999,12.000
41.446,23.720,4.290,0.000,0.010,50.500,3.570,434.000,9.999,12.000
42.520,23.720,4.290,0.000,0.010,50.500,3.570,434.000,9.999,12.000
43.520,23.720,4.290,0.000,0.010,50.500,3.570,434.000,9.999,12.000
44.519,23.720,4.290,0.000,0.010,50.500,3.770,436.000,9.999,12.100
45.519,23.700,4.280,0.000,0.010,53.400,3.770,436.000,9.999,12.100
46.518,23.700,4.280,0.000,0.010,53.400,3.770,436.000,9.999,12.100
47.518,23.700,4.280,0.000,0.010,53.400,3.770,436.000,9.999,12.100
48.592,23.700,4.280,0.000,0.010,53.400,3.770,436.000,9.999,12.100
49.667,23.700,4.280,0.000,0.010,53.400,3.770,436.000,9.999,12.100
50.666,23.710,4.280,0.000,0.010,56.500,3.990,436.000,9.999,12.000
51.666,23.710,4.280,0.000,0.010,56.500,3.990,436.000,9.999,12.000
52.666,23.710,4.280,0.000,0.010,56.500,3.990,436.000,9.999,12.000
53.740,23.710,4.280,0.000,0.010,56.500,3.990,436.000,9.999,12.000
54.739,23.710,4.280,0.000,0.010,56.500,3.990,436.000,9.999,12.000
55.739,23.710,4.280,0.000,0.010,56.500,4.190,436.000,9.999,12.100
56.738,23.720,4.270,0.000,0.010,59.400,4.190,436.000,9.999,12.100
57.671,23.720,4.270,0.000,0.010,59.400,4.190,436.000,9.999,12.100
58.672,23.720,4.270,0.000,0.010,59.400,4.190,436.000,9.999,12.100
59.745,23.720,4.270,0.000,0.010,59.400,4.190,436.000,9.999,12.100
60.819,23.720,4.270,0.000,0.010,59.400,4.190,436.000,9.999,12.100
61.819,23.720,4.270,0.000,0.010,62.100,4.390,436.000,9.999,12.100
62.818,23.720,4.270,0.000,0.010,62.100,4.390,436.000,9.999,12.100
63.751,23.720,4.270,0.000,0.010,62.100,4.390,436.000,9.999,12.100
64.826,23.720,4.270,0.000,0.010,62.100,4.390,436.000,9.999,12.100
65.825,23.720,4.270,0.000,0.010,62.100,4.390,436.000,9.999,12.100
66.900,23.720,4.270,0.000,0.010,62.100,4.480,436.000,9.999,12.000
67.899,23.730,4.270,0.000,0.010,63.400,4.480,436.000,9.999,12.000
68.899,23.730,4.270,0.000,0.010,63.400,4.480,436.000,9.999,12.000
69.899,23.730,4.270,0.000,0.010,63.400,4.480,436.000,9.999,12.000
70.973,23.730,4.270,0.000,0.010,63.400,4.480,436.000,9.999,12.000
71.972,23.730,4.270,0.000,0.010,63.400,4.480,436.000,9.999,12.000
72.972,23.740,4.270,0.000,0.010,63.400,4.470,436.000,9.999,12.100
73.971,23.740,4.270,0.000,0.010,63.400,4.470,436.000,9.999,12.100
74.971,23.740,4.270,0.000,0.010,63.400,4.470,436.000,9.999,12.100
76.044,23.740,4.270,0.000,0.010,63.400,4.470,436.000,9.999,12.100
77.043,23.740,4.270,0.000,0.010,63.400,4.470,436.000,9.999,12.100
78.118,23.740,4.270,0.000,0.010,63.400,4.440,436.000,9.999,12.000
79.052,23.750,4.270,0.000,0.010,62.900,4.440,436.000,9.999,12.000
80.051,23.750,4.270,0.000,0.010,62.900,4.440,436.000,9.999,12.000
81.051,23.750,4.270,0.000,0.010,62.900,4.440,436.000,9.999,12.000
82.125,23.750,4.270,0.000,0.010,62.900,4.440,436.000,9.999,12.000
83.125,23.750,4.270,0.000,0.010,62.900,4.440,436.000,9.999,12.000
84.124,23.780,4.270,0.000,0.010,62.200,4.390,436.000,9.999,12.100
85.125,23.780,4.270,0.000,0.010,62.200,4.390,436.000,9.999,12.100
86.056,23.780,4.270,0.000,0.010,62.200,4.390,436.000,9.999,12.100
87.130,23.780,4.270,0.000,0.010,62.200,4.390,436.000,9.999,12.100
88.130,23.780,4.270,0.000,0.010,62.200,4.390,436.000,9.999,12.100
89.204,23.780,4.270,0.000,0.010,62.200,4.320,436.000,9.999,12.100
90.203,23.820,4.270,0.000,0.010,61.300,4.320,436.000,9.999,12.100
91.202,23.820,4.270,0.000,0.010,61.300,4.320,436.000,9.999,12.100
92.204,23.820,4.270,0.000,0.010,61.300,4.320,436.000,9.999,12.100
93.277,23.820,4.270,0.000,0.010,61.300,4.320,436.000,9.999,12.100
94.275,23.820,4.270,0.000,0.010,61.300,4.320,436.000,9.999,12.100
95.275,23.860,4.260,0.000,0.010,60.100,4.230,436.000,9.999,12.100
96.274,23.860,4.260,0.000,0.010,60.100,4.230,436.000,9.999,12.100
97.274,23.860,4.260,0.000,0.010,60.100,4.230,436.000,9.999,12.100
98.349,23.860,4.260,0.000,0.010,60.100,4.230,436.000,9.999,12.100
99.349,23.860,4.260,0.000,0.010,60.100,4.230,436.000,9.999,12.100
100.422,23.860,4.260,0.000,0.010,60.100,4.150,436.000,9.999,12.000
101.422,23.890,4.260,0.000,0.010,59.000,4.150,436.000,9.999,12.000
102.420,23.890,4.260,0.000,0.010,59.000,4.150,436.000,9.999,12.000
103.419,23.890,4.260,0.000,0.010,59.000,4.150,436.000,9.999,12.000
104.494,23.890,4.260,0.000,0.010,59.000,4.150,436.000,9.999,12.000
105.493,23.890,4.260,0.000,0.010,59.000,4.150,436.000,9.999,12.000
106.492,23.920,4.260,0.000,0.010,58.000,4.080,436.000,9.999,12.000
107.491,23.920,4.260,0.000,0.010,58.000,4.080,436.000,9.999,12.000
108.491,23.920,4.260,0.000,0.010,58.000,4.080,436.000,9.999,12.000
109.565,23.920,4.260,0.000,0.010,58.000,4.080,436.000,9.999,12.000
110.565,23.920,4.260,0.000,0.010,58.000,4.080,436.000,9.999,12.000
111.564,23.920,4.260,0.000,0.010,58.000,4.010,436.000,9.999,12.100
112.564,23.950,4.260,0.000,0.010,57.100,4.010,436.000,9.999,12.100
113.563,23.950,4.260,0.000,0.010,57.100,4.010,436.000,9.999,12.100
114.563,23.950,4.260,0.000,0.010,57.100,4.010,436.000,9.999,12.100
115.637,23.950,4.260,0.000,0.010,57.100,4.010,436.000,9.999,12.100
116.637,23.950,4.260,0.000,0.010,57.100,4.010,436.000,9.999,12.100
117.635,23.960,4.250,0.000,0.010,56.300,3.960,435.000,9.999,12.000
118.635,23.960,4.250,0.000,0.010,56.300,3.960,435.000,9.999,12.000
119.633,23.960,4.250,0.000,0.010,56.300,3.960,435.000,9.999,12.000
120.706,23.960,4.250,0.000,0.010,56.300,3.960,435.000,9.999,12.000
121.706,23.960,4.250,0.000,0.010,56.300,3.960,435.000,9.999,12.000
122.706,23.960,4.250,0.000,0.010,56.300,3.920,436.000,9.999,12.100
123.705,23.980,4.250,0.000,0.010,55.800,3.920,436.000,9.999,12.100
124.705,23.980,4.250,0.000,0.010,55.800,3.920,436.000,9.999,12.100
125.704,23.980,4.250,0.000,0.010,55.800,3.920,436.000,9.999,12.100
126.779,23.980,4.250,0.000,0.010,55.800,3.920,436.000,9.999,12.100
127.778,23.980,4.250,0.000,0.010,55.800,3.920,436.000,9.999,12.100
128.777,23.990,4.250,0.000,0.010,55.300,3.890,436.000,9.999,12.000
129.776,23.990,4.250,0.000,0.010,55.300,3.890,436.000,9.999,12.000
130.708,23.990,4.250,0.000,0.010,55.300,3.890,436.000,9.999,12.000
131.783,23.990,4.250,0.000,0.010,55.300,3.890,436.000,9.999,12.000
132.782,23.990,4.250,0.000,0.010,55.300,3.890,436.000,9.999,12.000
133.783,23.990,4.250,0.000,0.010,55.300,3.860,435.000,9.999,12.100
134.780,24.000,4.250,0.000,0.010,55.000,3.860,435.000,9.999,12.100
135.779,24.000,4.250,0.000,0.010,55.000,3.860,435.000,9.999,12.100
136.778,24.000,4.250,0.000,0.010,55.000,3.860,435.000,9.999,12.100
137.852,24.000,4.250,0.000,0.010,55.000,3.860,435.000,9.999,12.100
138.852,24.000,4.250,0.000,0.010,55.000,3.860,435.000,9.999,12.100
139.851,24.010,4.240,0.001,0.010,54.800,3.850,435.000,9.999,12.100
140.851,24.010,4.240,0.001,0.010,54.800,3.850,435.000,9.999,12.100
141.849,24.010,4.240,0.001,0.010,54.800,3.850,435.000,9.999,12.100
142.924,24.010,4.240,0.001,0.010,54.800,3.850,435.000,9.999,12.100
143.922,24.010,4.240,0.001,0.010,54.800,3.850,435.000,9.999,12.100
144.922,24.010,4.240,0.001,0.010,54.800,3.850,435.000,9.999,12.100
145.921,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.100
146.854,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.100
147.853,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.100
148.927,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.100
149.926,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.100
150.927,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.000
151.926,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.000
152.926,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.000
154.001,24.020,4.240,0.000,0.010,54.800,3.850,435.000,9.999,12.000
